1	0.1429	0.0458
2	0.0687	0.1334
3	-0.0458	0.1429
4	-0.1334	0.0687
5	-0.1429	-0.0458
6	-0.0687	-0.1334
7	0.0458	-0.1429
8	0.1334	-0.0687
9	-0.2065	0.4239
10	-0.4457	0.1538
11	-0.4239	-0.2065
12	-0.1538	-0.4457
13	0.2065	-0.4239
14	0.4457	-0.1538
15	0.4239	0.2065
16	0.1538	0.4457
17	-0.7813	0.2378
18	-0.7206	-0.3843
19	-0.2378	-0.7813
20	0.3843	-0.7206
21	0.7813	-0.2378
22	0.7206	0.3843
23	0.2378	0.7813
24	-0.3843	0.7206
25	-1.0503	-0.0914
26	-0.6781	-0.8073
27	0.0914	-1.0503
28	0.8073	-0.6781
29	1.0503	0.0914
30	0.6781	0.8073
31	-0.0914	1.0503
32	-0.8073	0.6781
33	-1.1766	-0.4143
34	-0.539	-1.125
35	0.4143	-1.1766
36	1.125	-0.539
37	1.1766	0.4143
38	0.539	1.125
39	-0.4143	1.1766
40	-1.125	0.539
41	-1.2228	-0.7109
42	-0.362	-1.3674
43	0.7109	-1.2228
44	1.3674	-0.362
45	1.2228	0.7109
46	0.362	1.3674
47	-0.7109	1.2228
48	-1.3674	0.362
49	-1.2191	-0.9794
50	-0.1695	-1.5546
51	0.9794	-1.2191
52	1.5546	-0.1695
53	1.2191	0.9794
54	0.1695	1.5546
55	-0.9794	1.2191
56	-1.5546	0.1695
57	-1.1822	-1.2216
58	0.0279	-1.6998
59	1.2216	-1.1822
60	1.6998	0.0279
61	1.1822	1.2216
62	-0.0279	1.6998
63	-1.2216	1.1822
64	-1.6998	-0.0279
